ANAKAPALLI,ANAKAPALLE
ITCHAPURAM,ICHCHAPURAM
J.MADUGU,JAMMALAMADUGU
JAGGAIAHPETA,JAGGAYYAPETA
JANAKAVARAMPANGULURU,JANAKAVARAMPANGULU
JEELUGU MILLI,JEELUGUMILLI
JUPADU BUNGLOW,JUPADU BUNGALOW
K. KOTAPADU,K KOTAPADU
K.GANGAVARAM,GANGAVARAM
K.K.MITTA,KONAKANAMITLA
K.V.B.PURAM,K V B PURAM
KADAPA,KADAPA MANDAL
KANAGANAPALLI,KANAGANAPALLE
KANCHIKACHERLA,KANCHIKA CHERLA
KOTABOMMALI,KOTABOMMAL
KOTABOMMILI,KOTABOMMAL
KOTHAPALLI,KOTHAPALLE
KOTTURU,KOTHURU
KURNOOL,KURNOOL MANDAL
L.KOTA,LAKKAVARAPUKOTA
L.N.PETA,LAXMINARASAMPET
L.R.PALLI,LAKKIREDDIPALLE
LAKSHMINARSUPETA,LAXMINARASAMPET
LAXMINARSUPETA,LAXMINARASAMPET
MADANAPALLE,MANDAPALLE
MADDIKERA (EAST),MADDIKERA EAST
MEILAPUTTI,MELIAPUTTI
MUDINEPALLI,MUDINAPALLE
MYDUKUR,S MYDUKUR
NAIDUPET,NAIDUPETA
NAKKAPALLI,NAKKAPALLE
NANDIKOTKUR,NANDI KOTKUR
NARASARAOPET,NARASARAOPETA
NARAYANA VANAM,NARAYANAVANAM
NEKARIKALLU,NAKARIKALLU
NELLORE,NELLORE MANDAL
NELLORE ( R),NELLORE MANDAL
NIDADAVOLU,NIDADAVOLE
NIMMANAPALLI,NIMMANAPALLE
NUJENDLA,NUZENDLA
O.D. CHERUVU,OBULADEVARACHERUVU
OBULAVARIPALLI,OBULAVARIPALLE
P.C.PALLI,PEDACHERLOPALLE
PAMURU,PAMUR
PARAWADA,PARAVADA
PATTIKONDA,PATTIKANDA
PEAPULLY,PEAPALLY
PEDA  ARAVEEDU,PEDAARAVEEDU
PEDACHERLO PALLE,PEDACHERLOPALLE
PEDAVEGI,PADAVEGI
PEDDA THIPPASAMUDRAM,PEDDATHIPPASAMUDRA
PEDDAPANJANI,PEDDA PANJANI
PEDDARAVEEDU,PEDAARAVEEDU
PEDDATHIPPASAMUDRAM,PEDDATHIPPASAMUDRA
PELLAKURU,PELLAKUR
PENAGALUR,PENAGALURU
PONNALUR,PONNALURU
PRODDATUR,PRODDUTUR
PULIVENDULA,PULIVENDLA
PULLAMPET,PULLAMPETA
PUTTAPARTHY,PUTTAPARTHI
RAJAHAMUNDRY (RURAL),RAJAHMUNDRY RURAL
RAJAHMUNDRY(RURAL),RAJAHMUNDRY RURAL
RAMAKUPPAM,RAMA KUPPAM
RAYACHOTI,ROYACHOTI
RAYACHOTY,ROYACHOTI
RENTACRINTALA,RENTACHINTALA
ROUTHALAPUDI,ROUTHULAPUDI
ROWTHULAPUDI,ROUTHULAPUDI
S. RAYAVARAM,S RAYAVARAM
S.A.K.N. MANDAL,NARSAPUR
S.MYDUKUR,S MYDUKUR
S.N.PADU,SANTHANUTHLAPADU
S.R.PURAM,SEETHARAMAPURAM
SADUM,SODAM
SAMBEPALLI,SAMBEPALLE
SANKAVARAM,SANKHAVARAM
SANTHIPURAM,SANTHI PURAM
SATHYAVEDU,SATYAVEDU
SATTENAPALLI,SATTENAPALLE
SIRIVELLA,SIRVEL
SOMANDEPALLI,SOMANDEPALLE
SRI AVADHUTHA KASINAYANA,NARSAPUR
SRIKAKULAM,SRIKAKULAM MANDAL
T.NARASAPURAM,T NARASAPURAM
T.SUNDUPALLI,T SUNDUPALLE
TADIPATRI,TADPATRI
TALLAPUDI,THALLAPUDI
TARLUPADU,TARLAPADU
THONDUR,THANDUR
TIRUPATI (RURAL),TIRUPATI
TIRUPATI (URBAN),TIRUPATI
TIRUPATI RURAL,TIRUPATI
TIRUPATI RURAL,TIRUPATI
U.KOTHAPALLI,KOTHAPALLEE
V.N.PALLI,VEERAPUNAYUNIPALLE
V.V.PALEM,VOLETIVARIPALEM
VAJRAPUKOTTURU,VAJRAPUKOTHURU
VARARAMACHANDRAPURAM,VARARAMACHANDRAPUR
VAYALPAD,VALMIKIPURAM
VEDURUKUPPAM,VEDURU KUPPAM
VEDURUKUPPAM,VEDURU KUPPAM
VEERABALLI,VEERABALLE
VEERULAPADU,VEERULLAPADU
VELGODU,VELGODE
VELGODU,VELGODE
VELUGODU,VELGODE
VEMPALLI,VEMPALLE
VENKATAGIRIKOTA,VENKATAGIRI KOTA
VIJAYAPURAM,VIJAYA PURAM
VIJAYAPURAM,VIJAYA PURAM
VIJAYAWADA (RURAL),VIJAYAWADA RURAL
VISAKHAPATNAM,VISAKHAPATNAM MANDAL
VIZIANAGARAM,VIZIANAGARAM MANDAL
VIZIANAGARAM,VIZIANAGARAM MANDAL
VIZIANAGARAM,VIZIANAGARAM MANDAL
VRPURAM,VARARAMACHANDRAPUR
Y. RAMAVARAM,Y RAMAVARAM
Y.RAMAVARAM,Y RAMAVARAM
YADAMARRI,YADAMARI
YERRAVARIPALEM,YARRAVARIPALEM
D.hirehal,D HIRCHAL
Penukonda,PENU KONDA
RAVIKAMATAM,RAVIKAMATHAM
D.HIREHAL,D HIRCHAL
PENUKONDA,PENU KONDA
BALIJIPETA,BALAJIPETA
BHOGAPURAM,BHOGHAPURAM
JIYYAMMAVALASA,JIYYAMMA VALASA
KADAPA,CUDDAPAH MANDAL
KOTHA PATNAM,KOTHAPATNAM
MUDINEPALLE,MUDINAPALLE
PODALAKUR,PODLAKUR
SANTHANUTHALA PADU,SANTHANUTHLAPADU
NELLORE,NELLORE MANDAL
ANAPARTHY,ANAPARTHI
BALIJIPETA,BALAJIPETA
BHOGAPURAM,BHOGHAPURAM
JIYYAMMAVALASA,JIYYAMMA VALASA
KOTHA PATNAM,KOTHAPATNAM
MUDINEPALLE,MUDINAPALLE
PODALAKUR,PODLAKUR
SANTHANUTHALA PADU,SANTHANUTHLAPADU
AKIVIDU,AKIVEEDU
NELLORE,NELLORE MANDAL
ANAPARTHY,ANAPARTHI
BUCHIREDDIPALEM,BUCCHIREDDIPALEM
CHEBROLU,CHEBROLE
GUDURU,GUDUR
I. POLAVARAM,I POLAVARAM
KAKINADA (FULLY URBAN),KAKINADA (URBAN)
P.GANNAVARAM,P GANNAVARAM
RAJAHMUNDRY (FULLY URBAN),RAJAHMUNDRY (URBAN)
RAJAHMUNDRY (RURAL),RAJAHMUNDRY RURAL
TADEPALLE,THADEPALLE
UNGUTUR,UNGUTURU
VIJAYAWADA (URBAN),VIJAYAWADA URBAN
VELAIRPADU,VELAIRPAD
VISAKHAPATNAM(U),VISAKHAPATNAM MANDAL
KADAPA,CUDDAPAH MANDAL
VISAKHAPATNAM(U),VISAKHAPATNAM MANDAL1
